"Recip_County","Recip_State","Lat","Long"
"Mississippi County","AR",35.766944,-90.052207
"Monroe County","AR",34.679512,-91.20331
"Montgomery County","AR",34.545656,-93.664153
"Nevada County","AR",33.666699,-93.305072
"Newton County","AR",35.910742,-93.215898
"Ouachita County","AR",33.591168,-92.878413
"Perry County","AR",34.946363,-92.926877
"Phillips County","AR",34.423687,-90.855593
"Pike County","AR",34.158191,-93.658659
"Poinsett County","AR",35.56887,-90.681104
"Polk County","AR",34.490915,-94.230884
"Pope County","AR",35.456557,-93.026818
"Prairie County","AR",34.831116,-91.55362
"Pulaski County","AR",34.770311,-92.312996
"Randolph County","AR",36.341298,-91.028441
"St. Francis County","AR",35.022838,-90.751506
"Saline County","AR",34.648525,-92.674463
"Scott County","AR",34.858869,-94.063641
"Searcy County","AR",35.896387,-92.695888
"Sebastian County","AR",35.196981,-94.274989
"Sevier County","AR",33.994877,-94.243279
"Sharp County","AR",36.173399,-91.471069
"Stone County","AR",35.857001,-92.140482
"Union County","AR",33.168219,-92.598145
"Van Buren County","AR",35.582953,-92.515976
"Washington County","AR",35.978001,-94.217269
"White County","AR",35.255118,-91.753034
"Woodruff County","AR",35.192777,-91.244535
"Yell County","AR",34.997713,-93.408303
"Alameda County","CA",37.647139,-121.912488
"Alpine County","CA",38.621783,-119.798352
"Amador County","CA",38.443549,-120.653858
"Butte County","CA",39.665336,-121.603209
"Calaveras County","CA",38.191068,-120.554107
"Colusa County","CA",39.177739,-122.237563
"Contra Costa County","CA",37.919479,-121.951543
"Del Norte County","CA",41.749903,-123.980998
"El Dorado County","CA",38.785612,-120.534225
"Fresno County","CA",36.761006,-119.655019
"Glenn County","CA",39.602546,-122.4017
"Humboldt County","CA",40.706655,-123.926176
"Imperial County","CA",33.040814,-115.3554
"Inyo County","CA",36.56216,-117.404209
"Kern County","CA",35.346629,-118.729506
"Kings County","CA",36.072478,-119.81553
"Lake County","CA",39.108009,-122.745217
"Lassen County","CA",40.715287,-120.621223
"Los Angeles County","CA",34.196398,-118.261862
"Madera County","CA",37.209821,-119.749802
"Marin County","CA",38.051367,-122.746396
"Mariposa County","CA",37.574343,-119.911721
"Mendocino County","CA",39.432388,-123.442881
"Merced County","CA",37.194806,-120.722802
"Modoc County","CA",41.592918,-120.71837
"Mono County","CA",37.915836,-118.875167
"Monterey County","CA",36.240104,-121.315578
"Napa County","CA",38.5071,-122.325904
"Nevada County","CA",39.297508,-120.771343
"Orange County","CA",33.675687,-117.777207
"Placer County","CA",39.062032,-120.722718
"Plumas County","CA",39.992295,-120.824371
"Riverside County","CA",33.729828,-116.002239
"Sacramento County","CA",38.450136,-121.344329
"San Benito County","CA",36.611651,-121.085811
"San Bernardino County","CA",34.856661,-116.181571
"San Diego County","CA",33.023604,-116.776117
"San Francisco County","CA",37.727239,-123.032229
"San Joaquin County","CA",37.934982,-121.272244
"San Luis Obispo County","CA",35.388189,-120.448897
"San Mateo County","CA",37.414672,-122.371546
"Santa Barbara County","CA",34.536677,-120.038364
"Santa Clara County","CA",37.221614,-121.68954
"Santa Cruz County","CA",37.012347,-122.007789
"Shasta County","CA",40.760514,-122.043556
"Sierra County","CA",39.576925,-120.521993
"Siskiyou County","CA",41.587986,-122.533287
"Solano County","CA",38.267226,-121.939594
"Sonoma County","CA",38.525182,-122.92611
"Stanislaus County","CA",37.562316,-121.002831
"Sutter County","CA",39.03619,-121.70394
"Tehama County","CA",40.126157,-122.232274
"Trinity County","CA",40.647858,-123.114666
"Tulare County","CA",36.228834,-118.781055
"Tuolumne County","CA",38.021434,-119.964733
"Ventura County","CA",34.358748,-119.133145
"Yolo County","CA",38.679609,-121.90275
"Yuba County","CA",39.27013,-121.344259
"Adams County","CO",39.874325,-104.331872
"Alamosa County","CO",37.568442,-105.788041
"Arapahoe County","CO",39.644554,-104.331706
"Archuleta County","CO",37.202395,-107.050863
"Baca County","CO",37.30978,-102.543741
"Bent County","CO",37.931891,-103.077584
"Boulder County","CO",40.094966,-105.397702
"Broomfield County","CO",39.953593,-105.050787
"Chaffee County","CO",38.734599,-106.300025
"Cheyenne County","CO",38.835646,-102.601791
"Clear Creek County","CO",39.689403,-105.670783
"Conejos County","CO",37.213406,-106.176447
"Costilla County","CO",37.277547,-105.42894
"Crowley County","CO",38.30618,-103.772736
"Custer County","CO",38.101996,-105.373512
"Delta County","CO",38.861595,-107.864892
"Denver County","CO",39.76185,-104.881105
"Dolores County","CO",37.733823,-108.506219
"Douglas County","CO",39.325414,-104.925987
"Eagle County","CO",39.626992,-106.695169
"Elbert County","CO",39.315157,-104.114076
"El Paso County","CO",38.827383,-104.527472
"Fremont County","CO",38.45517,-105.424958
"Garfield County","CO",39.599352,-107.90978
"Gilpin County","CO",39.861156,-105.528878
"Grand County","CO",40.113065,-106.110837
"Gunnison County","CO",38.670499,-107.05688
"Hinsdale County","CO",37.811519,-107.383974
"Huerfano County","CO",37.687815,-104.959928
"Jackson County","CO",40.663432,-106.329248
"Jefferson County","CO",39.579511,-105.245462
"Kiowa County","CO",38.387663,-102.756849
"Kit Carson County","CO",39.30534,-102.603023
"Lake County","CO",39.205341,-106.350079
"La Plata County","CO",37.287367,-107.839718
"Larimer County","CO",40.658093,-105.486764
"Las Animas County","CO",37.318831,-104.04411
"Lincoln County","CO",38.99374,-103.507555
"Logan County","CO",40.728091,-103.090464
"Mesa County","CO",39.019524,-108.460571
"Mineral County","CO",37.549067,-107.003236
"Moffat County","CO",40.610864,-108.217154
"Montezuma County","CO",37.338025,-108.595786
"Montrose County","CO",38.407507,-108.266282
"Morgan County","CO",40.263159,-103.81221
"Otero County","CO",37.88417,-103.72126
"Ouray County","CO",38.154731,-107.78848
"Park County","CO",39.118914,-105.717648
"Phillips County","CO",40.594712,-102.345105
"Pitkin County","CO",39.217541,-106.916162
"Prowers County","CO",37.958181,-102.392161
"Pueblo County","CO",38.162765,-104.484668
"Rio Blanco County","CO",39.972622,-108.200716
"Rio Grande County","CO",37.485853,-106.453128
"Routt County","CO",40.483664,-106.987702
"Saguache County","CO",38.031651,-106.234666
"San Juan County","CO",37.781049,-107.670257
"San Miguel County","CO",38.009319,-108.427263
"Sedgwick County","CO",40.871568,-102.355358
"Summit County","CO",39.621023,-106.137555
"Teller County","CO",38.869976,-105.187365
"Washington County","CO",39.96579,-103.209744
"Weld County","CO",40.555961,-104.383666
"Yuma County","CO",40.00077,-102.421649
"Capitol Planning Region","CT",41.81697,-72.575886
"Greater Bridgeport Planning Region","CT",41.184558,-73.209401
"Lower Connecticut River Valley Planning Region","CT",41.420307,-72.493525
"Naugatuck Valley Planning Region","CT",41.518931,-73.087906
"Northeastern Connecticut Planning Region","CT",41.842375,-71.972655
"Northwest Hills Planning Region","CT",41.854809,-73.221494
"South Central Connecticut Planning Region","CT",41.290167,-72.837024
"Southeastern Connecticut Planning Region","CT",41.484769,-72.101666
"Western Connecticut Planning Region","CT",41.279055,-73.44655
"Kent County","DE",39.097088,-75.502982
"New Castle County","DE",39.575915,-75.644132
"Sussex County","DE",38.673227,-75.337024
"District of Columbia","DC",38.904247,-77.016517
"Alachua County","FL",29.67574,-82.357221
"Baker County","FL",30.324442,-82.302284
"Bay County","FL",30.15914,-85.534395
"Bradford County","FL",29.952386,-82.166698
"Brevard County","FL",28.298311,-80.700333
"Broward County","FL",26.193535,-80.476683
"Calhoun County","FL",30.388801,-85.197915
"Charlotte County","FL",26.906396,-82.003657
"Citrus County","FL",28.850292,-82.595552
"Clay County","FL",29.986584,-81.865036
"Collier County","FL",26.118786,-81.400955
"Columbia County","FL",30.221651,-82.623371
"DeSoto County","FL",27.190581,-81.806253
"Dixie County","FL",29.552675,-83.236232
"Duval County","FL",30.335245,-81.648113
"Escambia County","FL",30.529998,-87.320322
"Flagler County","FL",29.474891,-81.286253
"Franklin County","FL",29.677794,-84.815213
"Gadsden County","FL",30.578687,-84.612607
"Gilchrist County","FL",29.723456,-82.795801
"Glades County","FL",26.95481,-81.19082
"Gulf County","FL",29.859238,-85.272013
"Hamilton County","FL",30.498438,-82.951116
"Hardee County","FL",27.492846,-81.82158
"Hendry County","FL",26.539967,-81.152114
"Hernando County","FL",28.555995,-82.525969
"Highlands County","FL",27.34108,-81.342353
"Hillsborough County","FL",27.893154,-82.379991
"Holmes County","FL",30.862007,-85.815939
"Indian River County","FL",27.700528,-80.574789
"Jackson County","FL",30.789249,-85.208814
"Jefferson County","FL",30.396898,-83.921761
"Lafayette County","FL",29.990066,-83.17851
"Lake County","FL",28.764113,-81.712282
"Lee County","FL",26.563273,-81.984182
"Leon County","FL",30.45931,-84.2778
"Levy County","FL",29.271854,-82.831233
"Liberty County","FL",30.259849,-84.86858
"Madison County","FL",30.447233,-83.470416
"Manatee County","FL",27.475556,-82.393144
"Marion County","FL",29.202805,-82.0431
"Martin County","FL",27.083604,-80.398201
"Miami-Dade County","FL",25.616009,-80.50375
"Monroe County","FL",25.58612,-81.022603
"Nassau County","FL",30.605963,-81.765087
"Okaloosa County","FL",30.614325,-86.59108
"Okeechobee County","FL",27.385592,-80.887388
"Orange County","FL",28.514391,-81.323284
"Osceola County","FL",28.059027,-81.139312
"Palm Beach County","FL",26.649126,-80.448354
"Pasco County","FL",28.309823,-82.511006
"Pinellas County","FL",27.905342,-82.798066
"Polk County","FL",27.953649,-81.693534
"Putnam County","FL",29.593896,-81.732039
"St. Johns County","FL",29.890487,-81.40004
"St. Lucie County","FL",27.379814,-80.443536
"Santa Rosa County","FL",30.675348,-87.018919
"Sarasota County","FL",27.225327,-82.423714
"Seminole County","FL",28.690065,-81.131975
"Sumter County","FL",28.715275,-82.069876
"Suwannee County","FL",30.189244,-82.992754
"Taylor County","FL",29.967146,-83.639573
"Union County","FL",30.05428,-82.366918
"Volusia County","FL",29.057769,-81.161792
"Wakulla County","FL",30.091335,-84.359111
"Walton County","FL",30.571247,-86.162798
"Washington County","FL",30.602102,-85.655805
"Appling County","GA",31.739712,-82.290103
"Atkinson County","GA",31.296806,-82.878151
"Bacon County","GA",31.55021,-82.451433
"Baker County","GA",31.31958,-84.454881
"Baldwin County","GA",33.05949,-83.255457
"Banks County","GA",34.351922,-83.498441
"Barrow County","GA",33.992009,-83.712303
"Bartow County","GA",34.240917,-84.838188
"Ben Hill County","GA",31.740772,-83.147197
"Berrien County","GA",31.288652,-83.22787
"Bibb County","GA",32.808845,-83.694194
"Bleckley County","GA",32.435403,-83.331717
"Brantley County","GA",31.197334,-81.982978
"Brooks County","GA",30.822934,-83.581905
"Bryan County","GA",32.017969,-81.438543
"Bulloch County","GA",32.394481,-81.741618
"Burke County","GA",33.060181,-82.000164
"Butts County","GA",33.290355,-83.958221
"Calhoun County","GA",31.521279,-84.62629
"Camden County","GA",30.913358,-81.642019
"Candler County","GA",32.40395,-82.071266
"Carroll County","GA",33.582237,-85.080527
"Catoosa County","GA",34.900212,-85.139385
"Charlton County","GA",30.779904,-82.139644
"Chatham County","GA",31.980404,-81.085184
"Chattahoochee County","GA",32.347445,-84.788021
"Chattooga County","GA",34.474178,-85.345289
"Cherokee County","GA",34.244317,-84.475057
"Clarke County","GA",33.952185,-83.367152
"Clay County","GA",31.619831,-84.992583
"Clayton County","GA",33.551603,-84.412868
"Clinch County","GA",30.917653,-82.702614
"Cobb County","GA",33.939929,-84.574121
"Coffee County","GA",31.549245,-82.84494
"Colquitt County","GA",31.189707,-83.769773
"Columbia County","GA",33.552075,-82.249608
"Cook County","GA",31.152516,-83.429445
"Coweta County","GA",33.352897,-84.762138
"Crawford County","GA",32.709428,-83.979187
"Crisp County","GA",31.920268,-83.75653
"Dade County","GA",34.852424,-85.506201
"Dawson County","GA",34.442608,-84.173261
"Decatur County","GA",30.880643,-84.58389
"DeKalb County","GA",33.770661,-84.226343
"Dodge County","GA",32.164369,-83.167866
"Dooly County","GA",32.151995,-83.807167
"Dougherty County","GA",31.532588,-84.20904
"Douglas County","GA",33.701242,-84.767314
"Early County","GA",31.324191,-84.906723
"Echols County","GA",30.714008,-82.897376
"Effingham County","GA",32.361688,-81.343355
"Elbert County","GA",34.116415,-82.841892
"Emanuel County","GA",32.5911,-82.299763
"Evans County","GA",32.153083,-81.890153
"Fannin County","GA",34.866543,-84.317331
"Fayette County","GA",33.412717,-84.493941
"Floyd County","GA",34.26369,-85.213685
"Forsyth County","GA",34.225143,-84.127408
"Franklin County","GA",34.375266,-83.227532
"Fulton County","GA",33.790034,-84.468182
"Gilmer County","GA",34.690523,-84.454811
"Glascock County","GA",33.227491,-82.606913
"Glynn County","GA",31.21271,-81.49645
"Gordon County","GA",34.509667,-84.873862
"Grady County","GA",30.8759,-84.244965
"Greene County","GA",33.576704,-83.166625
"Gwinnett County","GA",33.958756,-84.025735
"Habersham County","GA",34.634392,-83.525875
"Hall County","GA",34.317569,-83.8185
"Hancock County","GA",33.26922,-83.000465
"Haralson County","GA",33.795165,-85.220063
"Harris County","GA",32.731549,-84.912432
"Hart County","GA",34.348733,-82.96329
"Heard County","GA",33.291347,-85.137886
"Henry County","GA",33.452947,-84.154021
"Houston County","GA",32.458147,-83.662309
"Irwin County","GA",31.604306,-83.277037
"Jackson County","GA",34.130905,-83.562557
"Jasper County","GA",33.316981,-83.689151
"Jeff Davis County","GA",31.811615,-82.636825
"Jefferson County","GA",33.058176,-82.420004
"Jenkins County","GA",32.794563,-81.971524
"Johnson County","GA",32.694584,-82.66397
"Jones County","GA",33.021664,-83.562196
"Lamar County","GA",33.07444,-84.146689
"Lanier County","GA",31.038197,-83.063164
"Laurens County","GA",32.39322,-82.926317
"Lee County","GA",31.818419,-84.146681
"Liberty County","GA",31.807458,-81.457871
"Lincoln County","GA",33.792151,-82.448299
"Long County","GA",31.749563,-81.74287
"Lowndes County","GA",30.833145,-83.268995
"Lumpkin County","GA",34.56814,-83.998925
"McDuffie County","GA",33.480613,-82.479533
"McIntosh County","GA",31.485629,-81.372141
"Macon County","GA",32.362686,-84.051231
"Madison County","GA",34.128526,-83.203737
"Marion County","GA",32.359312,-84.528735
"Meriwether County","GA",33.029267,-84.667058
"Miller County","GA",31.162931,-84.730398
"Mitchell County","GA",31.228997,-84.192038
"Monroe County","GA",33.018784,-83.921837
"Montgomery County","GA",32.172108,-82.533349
"Morgan County","GA",33.598696,-83.499435
"Murray County","GA",34.797097,-84.73799
"Muscogee County","GA",32.510197,-84.874946
"Newton County","GA",33.552751,-83.85136
"Oconee County","GA",33.834125,-83.437728
"Oglethorpe County","GA",33.866806,-83.074081
"Paulding County","GA",33.92103,-84.867169
"Peach County","GA",32.571324,-83.831978
"Pickens County","GA",34.456746,-84.490351
"Pierce County","GA",31.353998,-82.21037
"Pike County","GA",33.081149,-84.389462
"Polk County","GA",33.996015,-85.188338
"Pulaski County","GA",32.238803,-83.481845
"Putnam County","GA",33.32106,-83.37179
"Quitman County","GA",31.862938,-85.004798
"Rabun County","GA",34.883934,-83.40487
"Randolph County","GA",31.762651,-84.752311
"Richmond County","GA",33.361486,-82.074998
"Rockdale County","GA",33.652081,-84.02637
"Schley County","GA",32.263444,-84.322708
"Screven County","GA",32.744751,-81.617585
"Seminole County","GA",30.93396,-84.867685
"Spalding County","GA",33.262348,-84.284905
"Stephens County","GA",34.553582,-83.290588
"Stewart County","GA",32.073225,-84.834912
"Sumter County","GA",32.042266,-84.204294
"Talbot County","GA",32.704603,-84.530029
"Taliaferro County","GA",33.559319,-82.875272
"Tattnall County","GA",32.043768,-82.059208
"Taylor County","GA",32.554667,-84.251426
"Telfair County","GA",31.913641,-82.931063
"Terrell County","GA",31.777191,-84.439446
"Thomas County","GA",30.864619,-83.919815
"Tift County","GA",31.457003,-83.525931
"Toombs County","GA",32.117753,-82.330597
"Towns County","GA",34.902529,-83.732264
"Treutlen County","GA",32.409586,-82.570882
"Troup County","GA",33.034482,-85.02836
"Turner County","GA",31.7248,-83.620319
"Twiggs County","GA",32.665847,-83.425879
"Union County","GA",34.833333,-83.989257
"Upson County","GA",32.881837,-84.292283
"Walker County","GA",34.735802,-85.305456
"Walton County","GA",33.783887,-83.731829
"Ware County","GA",31.050881,-82.421507
"Warren County","GA",33.419169,-82.688012
"Washington County","GA",32.971843,-82.798112
"Wayne County","GA",31.547845,-81.912376
"Webster County","GA",32.046691,-84.553828
"Wheeler County","GA",32.105258,-82.733849
"White County","GA",34.644182,-83.743
"Whitfield County","GA",34.801726,-84.968541
"Wilcox County","GA",31.96272,-83.438259
"Wilkes County","GA",33.779031,-82.747921
"Wilkinson County","GA",32.804266,-83.175512
"Worth County","GA",31.551773,-83.84996
"Hawaii County","HI",19.597764,-155.502443
"Honolulu County","HI",21.461365,-158.201974
"Kalawao County","HI",21.218764,-156.97401
"Kauai County","HI",22.012038,-159.705965
"Maui County","HI",20.855931,-156.60155
"Ada County","ID",43.451477,-116.244376
"Adams County","ID",44.877004,-116.461624
"Bannock County","ID",42.692921,-112.228982
"Bear Lake County","ID",42.285892,-111.327517
"Benewah County","ID",47.218451,-116.633541
"Bingham County","ID",43.216357,-112.399206
"Blaine County","ID",43.394192,-113.955371
"Boise County","ID",43.987275,-115.71511
"Bonner County","ID",48.324634,-116.62745
"Bonneville County","ID",43.395171,-111.621878
"Boundary County","ID",48.773131,-116.524668
"Butte County","ID",43.685101,-113.177631
"Camas County","ID",43.502552,-114.772135
"Canyon County","ID",43.625796,-116.709058
"Caribou County","ID",42.786072,-111.544273
"Cassia County","ID",42.282313,-113.626328
"Clark County","ID",44.290218,-112.354613
"Clearwater County","ID",46.67257,-115.6535
"Custer County","ID",44.273351,-114.252267
"Elmore County","ID",43.394698,-115.471205
"Franklin County","ID",42.173609,-111.822965
"Fremont County","ID",44.218091,-111.484429
"Gem County","ID",44.061473,-116.398784
"Gooding County","ID",42.973185,-114.82142
"Idaho County","ID",45.849644,-115.467337
"Jefferson County","ID",43.796965,-112.318588
"Jerome County","ID",42.691395,-114.262086
"Kootenai County","ID",47.675957,-116.695919
"Latah County","ID",46.81892,-116.730974
"Lemhi County","ID",44.928506,-113.887042
"Lewis County","ID",46.236328,-116.42376
"Lincoln County","ID",42.990782,-114.153089
"Madison County","ID",43.788614,-111.656993
"Minidoka County","ID",42.857211,-113.63984
"Nez Perce County","ID",46.333791,-116.760909
"Oneida County","ID",42.183895,-112.520449
"Owyhee County","ID",42.572851,-116.18969
"Payette County","ID",44.00243,-116.750238
"Power County","ID",42.694126,-112.844407
"Shoshone County","ID",47.347694,-115.885092
"Teton County","ID",43.760994,-111.211765
"Twin Falls County","ID",42.352309,-114.665639
"Valley County","ID",44.85596,-115.618061
"Washington County","ID",44.448223,-116.797792
"Adams County","IL",39.986052,-91.194961
"Alexander County","IL",37.183658,-89.349516
"Bond County","IL",38.885924,-89.436592
"Boone County","IL",42.318983,-88.824295
"Brown County","IL",39.962069,-90.750309
"Bureau County","IL",41.401304,-89.528377
"Calhoun County","IL",39.164262,-90.666295
"Carroll County","IL",42.0709,-89.924189
"Cass County","IL",39.969202,-90.245704
"Champaign County","IL",40.138985,-88.196975
"Christian County","IL",39.545524,-89.279593
"Clark County","IL",39.332334,-87.791683
"Clay County","IL",38.746819,-88.482325
"Clinton County","IL",38.606295,-89.426228
"Coles County","IL",39.51368,-88.220782
"Cook County","IL",41.894294,-87.645455
"Crawford County","IL",39.002787,-87.760619
"Cumberland County","IL",39.273121,-88.240619
"DeKalb County","IL",41.894612,-88.768991
"De Witt County","IL",40.181499,-88.901853
"Douglas County","IL",39.766078,-88.222866
"DuPage County","IL",41.852058,-88.086039
"Edgar County","IL",39.679037,-87.74711
"Edwards County","IL",38.417095,-88.047941
"Effingham County","IL",39.047945,-88.592849
"Fayette County","IL",39.001125,-89.017923
"Ford County","IL",40.596539,-88.224588
"Franklin County","IL",37.991852,-88.926321
"Fulton County","IL",40.46524,-90.202269
"Gallatin County","IL",37.768677,-88.227964
"Greene County","IL",39.355439,-90.387682
"Grundy County","IL",41.29241,-88.401054
"Hamilton County","IL",38.085227,-88.539009
"Hancock County","IL",40.401318,-91.168801
"Hardin County","IL",37.517852,-88.266148
"Henderson County","IL",40.814471,-90.941246
"Henry County","IL",41.350021,-90.130838
"Iroquois County","IL",40.748867,-87.833601
"Jackson County","IL",37.786096,-89.381212
"Jasper County","IL",39.004886,-88.150725
"Jefferson County","IL",38.30078,-88.92421
"Jersey County","IL",39.080195,-90.361385
"Jo Daviess County","IL",42.362391,-90.21147
"Johnson County","IL",37.460709,-88.882131
"Kane County","IL",41.939594,-88.42804
"Kankakee County","IL",41.13951,-87.861117
"Kendall County","IL",41.58814,-88.430626
"Knox County","IL",40.930945,-90.213792
"Lake County","IL",42.185968,-87.805939
"LaSalle County","IL",41.343341,-88.885931
"Lawrence County","IL",38.718954,-87.730221
"Lee County","IL",41.747447,-89.299362
"Livingston County","IL",40.894376,-88.552852
"Logan County","IL",40.129277,-89.365309
